# This trace was obtained from trace.eas.asu.edu
# Sequence: Star Wars 4
# Resolution: 352x288
# FPS: 30
# Encoder: H.265/HEVC 8.0
# Encoding type: Main, 3T, Delta 264C
# GoP pattern: G16B15
# Quantization parameters (I,P,B_avg): 10, N/A, 18
# Layer: 3
# Other: 
# Frame Time [s] Type Size [Byte] PSNR-Y [dB] PSNR-U [dB] PSNR-V [dB] VQM (if exists)
0	0	I	211	188.1308	70.12836	70.12836
1	0.03333	B	13	188.1308	70.12836	70.12836
2	0.06667	B	18	188.1308	70.12836	70.12836
3	0.1	B	13	188.1308	70.12836	70.12836
4	0.13333	B	13	188.1308	70.12836	70.12836
5	0.16667	B	13	188.1308	70.12836	70.12836
6	0.2	B	18	188.1308	70.12836	70.12836
7	0.23333	B	13	188.1308	70.12836	70.12836
8	0.26667	B	20	188.1308	70.12836	70.12836
9	0.3	B	13	188.1308	70.12836	70.12836
10	0.33333	B	18	188.1308	70.12836	70.12836
11	0.36667	B	13	188.1308	70.12836	70.12836
12	0.4	B	13	188.1308	70.12836	70.12836
13	0.43333	B	13	188.1308	70.12836	70.12836
14	0.46667	B	18	188.1308	70.12836	70.12836
15	0.5	B	13	188.1308	70.12836	70.12836
16	0.53333	I	153	188.1308	70.12836	70.12836
17	0.56667	B	13	188.1308	70.12836	70.12836
18	0.6	B	18	188.1308	70.12836	70.12836
19	0.63333	B	13	188.1308	70.12836	70.12836
20	0.66667	B	13	188.1308	70.12836	70.12836
21	0.7	B	13	188.1308	70.12836	70.12836
22	0.73333	B	18	188.1308	70.12836	70.12836
23	0.76667	B	13	188.1308	70.12836	70.12836
24	0.8	B	20	188.1308	70.12836	70.12836
25	0.83333	B	13	188.1308	70.12836	70.12836
26	0.86667	B	18	188.1308	70.12836	70.12836
27	0.9	B	13	188.1308	70.12836	70.12836
28	0.93333	B	13	188.1308	70.12836	70.12836
29	0.96667	B	13	188.1308	70.12836	70.12836
30	1	B	18	188.1308	70.12836	70.12836
31	1.03333	B	13	188.1308	70.12836	70.12836
32	1.06667	I	153	188.1308	70.12836	70.12836
33	1.1	B	13	188.1308	70.12836	70.12836
34	1.13333	B	18	188.1308	70.12836	70.12836
35	1.16667	B	13	188.1308	70.12836	70.12836
36	1.2	B	13	188.1308	70.12836	70.12836
37	1.23333	B	13	188.1308	70.12836	70.12836
38	1.26667	B	18	188.1308	70.12836	70.12836
39	1.3	B	13	188.1308	70.12836	70.12836
40	1.33333	B	20	188.1308	70.12836	70.12836
41	1.36667	B	13	188.1308	70.12836	70.12836
42	1.4	B	18	188.1308	70.12836	70.12836
43	1.43333	B	13	188.1308	70.12836	70.12836
44	1.46667	B	13	188.1308	70.12836	70.12836
45	1.5	B	13	188.1308	70.12836	70.12836
46	1.53333	B	18	188.1308	70.12836	70.12836
47	1.56667	B	13	188.1308	70.12836	70.12836
48	1.6	I	153	188.1308	70.12836	70.12836
49	1.63333	B	13	188.1308	70.12836	70.12836
50	1.66667	B	18	188.1308	70.12836	70.12836
51	1.7	B	13	188.1308	70.12836	70.12836
52	1.73333	B	13	188.1308	70.12836	70.12836
53	1.76667	B	13	188.1308	70.12836	70.12836
54	1.8	B	18	188.1308	70.12836	70.12836
55	1.83333	B	13	188.1308	70.12836	70.12836
56	1.86667	B	20	188.1308	70.12836	70.12836
57	1.9	B	13	188.1308	70.12836	70.12836
58	1.93333	B	18	188.1308	70.12836	70.12836
59	1.96667	B	13	188.1308	70.12836	70.12836
60	2	B	13	188.1308	70.12836	70.12836
61	2.03333	B	13	188.1308	70.12836	70.12836
62	2.06667	B	18	188.1308	70.12836	70.12836
63	2.1	B	13	188.1308	70.12836	70.12836
64	2.13333	I	153	188.1308	70.12836	70.12836
65	2.16667	B	13	188.1308	70.12836	70.12836
66	2.2	B	18	188.1308	70.12836	70.12836
67	2.23333	B	13	188.1308	70.12836	70.12836
68	2.26667	B	13	188.1308	70.12836	70.12836
69	2.3	B	13	188.1308	70.12836	70.12836
70	2.33333	B	18	188.1308	70.12836	70.12836
71	2.36667	B	13	188.1308	70.12836	70.12836
72	2.4	B	20	188.1308	70.12836	70.12836
73	2.43333	B	13	188.1308	70.12836	70.12836
74	2.46667	B	18	188.1308	70.12836	70.12836
75	2.5	B	13	188.1308	70.12836	70.12836
76	2.53333	B	13	188.1308	70.12836	70.12836
77	2.56667	B	13	188.1308	70.12836	70.12836
78	2.6	B	18	188.1308	70.12836	70.12836
79	2.63333	B	13	188.1308	70.12836	70.12836
80	2.66667	I	153	188.1308	70.12836	70.12836
81	2.7	B	13	188.1308	70.12836	70.12836
82	2.73333	B	18	188.1308	70.12836	70.12836
83	2.76667	B	13	188.1308	70.12836	70.12836
84	2.8	B	13	188.1308	70.12836	70.12836
85	2.83333	B	13	188.1308	70.12836	70.12836
86	2.86667	B	18	188.1308	70.12836	70.12836
87	2.9	B	13	188.1308	70.12836	70.12836
88	2.93333	B	20	188.1308	70.12836	70.12836
89	2.96667	B	16	188.1308	70.12836	70.12836
90	3	B	13	188.1308	70.12836	70.12836
91	3.03333	B	16	188.1308	70.12836	70.12836
92	3.06667	B	18	188.1308	70.12836	70.12836
93	3.1	B	19	90.40864	70.12836	70.12836
94	3.13333	B	32	70.60104	69.73917	65.55143
95	3.16667	B	110	58.80246	59.15058	59.56646
96	3.2	I	3030	61.21612	59.53556	60.5469
97	3.23333	B	115	54.36152	54.29495	54.68612
